what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517039679806
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039681908
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517039681935
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039685319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039686612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039687801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039687993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039689219
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517039689334
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517039689421
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039691694
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1517039697101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039702881
error,log,,,"Internal Error",1517039709076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039717522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039732141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039735120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039742232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039747240
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039747369
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039747476
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1517039750561
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1517039758900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039764123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039784044
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039784165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039784288
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039785539
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1517039787058
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039789075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039790503
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517039790704
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039795690
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1517039802597
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039817384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039849635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039853311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039874553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1517039874574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039887072
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517039890088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517039890148
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1517039890161
