what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1517040869685
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1517040869689
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1517040869715
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1517040869721
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1517040869748
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1517040869771
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1517040869783
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1517040869808
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1517040869813
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1517040869836
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1517040870074
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517040885881
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1517040886429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517040891476
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517040891642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517040892015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517040897293
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517040919403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517040929357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517041167593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517041238647
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517041281870
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1517041285654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517041299547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517041300728
