what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362565836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1516362592274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1516362595122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362602196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516362644868
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516362648069
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362669495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516362676944
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516362703526
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362732485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516362742582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516362745899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516362753508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362755438
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516362762085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362764142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362764316
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362765553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362769659
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362770159
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516362770506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362775771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362804085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362805525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362817808
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516362817843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362829629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362831279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362831682
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516362832028
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362835780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362847112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362849491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362870240
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516362870290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362901807
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362906349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362910151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362910558
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516362910909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362913591
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362922476
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516362943902
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516362946213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362947985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362960207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362961627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362961939
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516362962261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362972653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362976016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516362978282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363010578
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363010612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363018373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363022800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363031781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363033217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363033535
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516363034292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363039080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363046804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363049708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363061479
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363061513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363063563
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363065176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363065331
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516363065708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363067629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363077399
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363081702
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363083103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363084993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363085159
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516363085463
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363087917
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363106730
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363108141
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363120624
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1516363128367
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363130670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1516363132537
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363133324
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363135418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363135645
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516363135990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363141405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363153230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363155810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363167111
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363167154
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363169107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363173510
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363177166
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363179694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363181560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363182042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363184278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363189531
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363191408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363193264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363193991
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516363194339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363202806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363241330
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363244877
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1516363262952
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1516363263942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1516363266978
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363267647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363271087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363296014
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363297270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363298768
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363299133
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363301841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363311945
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363313573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363315115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363315700
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516363316423
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363321016
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363326616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363328677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363387780
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363387809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516363392961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363395856
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363397420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363397750
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516363398098
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516363411218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516363440372
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363444450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516363444595
