what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516420617731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420623046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420643240
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516420644345
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1516420686679
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1516420688864
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516420689708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420700978
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420702953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420704138
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420710279
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516420712104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420716256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420753229
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516420755466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516420757281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420759026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420762580
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516420764305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420767652
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516420778468
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516420793335
