what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364598151
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516364599708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364601250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364601574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364603657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364610041
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516364611705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364615567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364615791
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516364616090
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516364616165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364622091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364624774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364628332
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364638700
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364639416
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364653449
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516364653477
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1516364657518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1516364659824
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516364669304
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1516364694828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1516364694958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516364700322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364704264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364718288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364720321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364720491
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516364720819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364727210
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364730938
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364732549
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364753818
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516364753862
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516364762153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364764180
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364770351
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364770578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364771021
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516364771412
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364776445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364783454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364784702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516364813607
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516364815315
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1516364823079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1516364831709
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1516364833540
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516364834836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516364859199
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516364864066
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1516364866534
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1516364866704
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1516364866887
