what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1516453848343
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1516453848343
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1516453848344
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1516453848345
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1516453848347
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1516453848347
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1516453848347
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1516453848348
os,sysinfo,,,"win32",1516453848351
arch,sysinfo,,,"x86",1516453848351
ws,sysinfo,,,"win32",1516453848351
locale,sysinfo,,,"en_US",1516453848351
processors,sysinfo,,,"4",1516453848351
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1516453848351
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1516453848351
java.specification.name,sysinfo,,,"Java Platform API Specification",1516453848351
java.specification.vendor,sysinfo,,,"Oracle Corporation",1516453848351
java.specification.version,sysinfo,,,"1.7",1516453848351
java.vendor,sysinfo,,,"Oracle Corporation",1516453848351
java.version,sysinfo,,,"1.7.0_79",1516453848351
java.vm.info,sysinfo,,,"mixed mode, sharing",1516453848351
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1516453848351
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1516453848351
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1516453848351
java.vm.specification.version,sysinfo,,,"1.7",1516453848351
java.vm.vendor,sysinfo,,,"Oracle Corporation",1516453848351
java.vm.version,sysinfo,,,"24.79-b02",1516453848351
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1516453849413
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516453850372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516453870895
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1516453904399
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1516453904402
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1516453904403
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516453906163
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1516453908044
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1516453908138
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1516453908177
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1516453909235
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1516453909249
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516453909665
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516453909775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516453916917
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516453935809
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1516453936172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516453940403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516453959655
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516453995631
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516454003066
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1516454003274
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1516454003296
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1516454003304
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1516454003311
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1516454003341
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1516454003346
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1516454003352
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1516454003368
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1516454003393
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1516454003398
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1516454003412
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1516454003442
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1516454003447
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1516454003464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454004386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454008466
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1516454009012
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516454010377
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454013225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454025442
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516454028171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516454037092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454039628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454042562
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516454043248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454046051
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454058469
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516454061120
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1516454069960
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454071966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454073929
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1516454074467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454077364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454086355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454089069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516454091924
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516454091967
